country,1960,1961,1962,1963,1964,1965,1966
Rwanda,69298,70644.1087,74973.52421,79500.37743,84233.48988,89183.1213,94717.51874
St. Kitts and Nevis,14076,14293.43269,14483.65275,14669.17143,14850.05903,15026.385,15099.10347
St. Lucia,18585,19052.6,19570.48,20095.08,20626.4,21164.44,21741.0206
St. Vincent and the Grenadines,11251,21689.95891,22354.89186,23001.49443,23642.79055,24289.09196,24962.86267
Samoa,20774,21528.133,22262.07352,23003.22365,23749.8778,24498.95231,25427.25648
San Marino,,7893.063144,8276.285568,8673.22938,9078.328512,9487.16478,9896.807808
Sao Tome and Principe,10344,11121.149,11848.38698,12546.60134,13290.64465,14148.43899,15415.3194
Saudi Arabia,1275391,1366041.774,1477184.286,1596241.917,1722568.964,1855884.824,2020187.501
Senegal,708855,741053.1296,783041.1344,827223.8443,873958.9701,923545.1048,978225.1148
Serbia,,2002595.98,2083741.632,2164122.576,2244248.16,2323683.88,2415584.464
Seychelles,11551,12336.15156,13147.92991,13978.66115,14838.19813,15733.425,16709.50481
Sierra Leone,392123,398760.8803,418049.6701,437977.3884,458584.087,479906.6107,503612.4642
Singapore,1646000,1702000,1750000,1795000,1842000,1887000,1934000
Slovak Republic,1388542,1432703.397,1478941.132,1524886.202,1572001.82,1619143.233,1669630.291
Slovenia,445562,463295.916,479831.0246,497700.4399,516374.7558,535927.5252,557721.5515
Solomon Islands,6861,7372.973132,7965.795936,8588.642482,9242.412032,9928.62045,10702.34018
Somalia,487677,514672.9492,542377.5495,571271.9059,601463.8956,633054.8465,667477.2687
South Africa,8106536,8390673.65,8652051.035,8899302.971,9137255.448,9370223.36,9599246.466
Spain,17237618,17677896.76,18133591.75,18588207.71,19071660.68,19580951.05,20089831.63
Sri Lanka,1590435,1695005.6,1765806.87,1814601.36,1895704.61,1967766.64,2059431.804
Sudan,1250107,963058.3979,1035071.169,1110194.855,1188599.568,1270521.925,1366280.272
Suriname,137170,140873.2691,144654.5021,148464.2714,152400.0908,156494.6847,160151.3058
Swaziland,13616,15832.57403,18082.60783,20421.14086,22863.71011,25427.45182,28629.29261
Sweden,5423001,5519919.172,5619499.984,5720705.537,5833569.454,5959397.768,6078494.889
Switzerland,2734617,2807280.2,2915004.916,3014409.088,3101717.842,3175203.424,3245858.393
Syria,1700442,1764469.733,1854339.353,1948573.081,2047558.428,2151637.497,2262020.918
Tajikistan,691390,725119.842,762471.2024,802000.9881,842531.7353,883191.5394,922233.1316
Tanzania,523790,560447.2477,593967.5382,629116.7442,665933.663,704474.9505,769767.7194
Thailand,5445488,5568508.057,5771934.035,5983164.592,6202159.938,6428810.562,6670537.05
Timor-Leste,50551,52596.08557,54854.24468,57200.82289,59641.08167,62178.22393,65073.39356
Togo,158206,176392.3314,193552.0012,211463.6354,231285.632,254081.3795,285941.9171
Tonga,12031,11436.02777,12145.43816,12917.1252,13712.66677,14500.23636,15078.35604
Trinidad and Tobago,145840,143416.4195,139998.2732,136056.1547,132048.4706,128250.9893,125691.9955
Tunisia,1582763,1623416.356,1670546.17,1723138.979,1779775.498,1839221.2,1915060.596
Turkey,8893395,9262782.807,9660491.399,10066591.61,10479218.43,10897191.92,11403948.89
Turkmenistan,739384,768157.0606,798015.8809,828748.4059,859840.4894,890927.1,921438.6136
Turks and Caicos Islands,,2766.04416,2786.745204,2796.257388,2798.26827,2800.03248,2799.571892
Tuvalu,,1028.344532,1089.933922,1153.603196,1217.930058,1281.49467,1348.89911
Uganda,298643,324794.2733,351452.203,379824.9003,409862.1471,441510.6517,475894.0438
Ukraine,20022449,20602580.89,21193450.63,21787610.69,22379409.26,22964511.36,23569738.61
United Arab Emirates,66322,72406.23939,81002.90999,91011.00695,101166.1857,110757.8681,119378.1245
United Kingdom,41060432,41352643.2,41638731,41884662.3,42090624,42294195.99,42451064.1
United States,126469700,129268132.7,131974142.7,134599886.4,137205240.3,139663053.4,141962708.2
Uruguay,2035321,2068693.278,2100246.816,2131162.093,2161414.991,2190899.872,2219599.084
Uzbekistan,2909890,3037531.688,3174626.548,3317511.034,3463670.303,3611300.521,3761708.953
Vanuatu,6638,6957.92601,7305.41844,7667.13558,8038.27864,8415.97423,8808.69762
Venezuela,4668605,4923222.021,5198138.569,5482987.096,5776288.986,6077209.797,6374314.202
Vietnam,5107221,5329816.33,5558754.687,5795307.608,6040676.768,6295975.61,6574579.806
Virgin Islands (U.S.),18080,19722.5534,21488.8014,23436.0234,25572.3818,27842.76,30528.1768
Yemen,475203,494623.5862,524818.5449,556070.4259,588186.394,621007.0336,658653.496
Zambia,551011,601586.6082,653480.5578,708251.7432,765969.1597,826729.5758,903398.0747
Zimbabwe,472675,504363.2481,537348.4222,572056.0715,608445.6042,646509.1194,692932.8599
South Sudan,,287795.7993,292120.8744,296594.1912,301196.0512,305915.6342,310762.8749
